DATAFLOW,LAST UPDATE,freq,bmi,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Cyprus,2017,44.4,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Cyprus,2022,38.6,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Cyprus,2025,38.0,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Czechia,2017,48.0,u,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Czechia,2022,45.0,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Czechia,2025,44.3,u,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Germany,2017,44.1,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Germany,2022,,u,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Germany,2025,35.6,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Denmark,2017,45.2,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Denmark,2022,39.9,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Denmark,2025,39.7,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Euro area – 20 countries (2023-2025),2017,42.9,,
